지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 나타난날(yyyymmdd),최고기온(°C),최고기온 나타난날(yyyymmdd),평균최저기온(°C),평균최고기온(°C)
169,흑산도,2020,14.1,-3.3,20201230,33.1,20200814,11.8,17.4
170,완도,2017,14.9,-5.1,20171214,35.4,20170806,11,19.6
170,완도,2018,14.8,-8.2,20180124,35.7,20180806,11.1,19.2
170,완도,2019,15,-4.1,20190210,33.5,20190814,11.3,19.5
170,완도,2020,14.9,-5.3,20201231,34,20200818,11.3,19.1
172,고창,2017,13.1,-9.4,20170126,35.3,20170805,8.1,18.7
172,고창,2018,13.3,-15.8,20181229,37.8,20180802,8.5,18.8
172,고창,2019,13.4,-8.3,20190127,35.1,20190803,8.6,18.9
172,고창,2020,13.3,-10.5,20201231,34,20200825,8.9,18.6
174,순천,2017,12.7,-10.2,20171214,36.4,20170805,7.1,19.3
174,순천,2018,12.7,-12.5,20180208,35.8,20180815,7.3,18.8
174,순천,2019,13.1,-8.5,20190104,33.8,20190814,7.9,19.3
174,순천,2020,13,-9.3,20201231,35.6,20200819,8,18.9
175,진도(첨찰산),2017,12.4,-7.7,20170131,34,20170724,9,17.4
175,진도(첨찰산),2018,12.2,-13.8,20180124,35.6,20180801,9.1,17.1
175,진도(첨찰산),2019,,-7.6,20190109,32.6,20190805,,
177,홍성,2017,12.6,-14.2,20170124,35.2,20170805,7.3,18.1
177,홍성,2018,12.4,-16.6,20180112,37,20180803,7.3,17.8
177,홍성,2019,12.7,-10.9,20190109,34.7,20190810,7.5,18.3
177,홍성,2020,12.8,-12.6,20201231,34.7,20200825,8,18
184,제주,2017,16.8,-1.1,20170210,37,20170721,14,20
184,제주,2018,16.6,-2.6,20180125,35.3,20180814,13.9,19.8
184,제주,2019,16.8,1,20190212,35.4,20190730,14.2,19.9
184,제주,2020,16.7,-1.4,20201230,36.3,20200815,14,20
185,고산,2017,16,-1.4,20170210,35.1,20170805,13.4,19.1
